Date,Texas Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet)
Jan-1989,4.25
Feb-1989,4.3
Mar-1989,4.12
Apr-1989,3.93
May-1989,3.96
Jun-1989,3.97
Jul-1989,3.74
Aug-1989,3.8
Sep-1989,4.15
Oct-1989,4.09
Nov-1989,4.25
Dec-1989,4.32
Jan-1990,4.42
Feb-1990,4.4
Mar-1990,4.37
Apr-1990,3.97
May-1990,3.9
Jun-1990,3.6
Jul-1990,3.57
Aug-1990,3.79
Sep-1990,3.95
Oct-1990,4.31
Nov-1990,4.42
Dec-1990,4.57
Jan-1991,4.41
Feb-1991,4.19
Mar-1991,3.96
Apr-1991,3.63
May-1991,3.75
Jun-1991,3.7
Jul-1991,3.48
Aug-1991,3.68
Sep-1991,4.07
Oct-1991,4.05
Nov-1991,4.25
Dec-1991,4.26
Jan-1992,4.3
Feb-1992,4.15
Mar-1992,4.06
Apr-1992,3.89
May-1992,3.81
Jun-1992,3.93
Jul-1992,3.53
Aug-1992,3.63
Sep-1992,4
Oct-1992,4.12
Nov-1992,4.45
Dec-1992,4.54
Jan-1993,4.81
Feb-1993,4.83
Mar-1993,4.41
Apr-1993,4.18
May-1993,4.14
Jun-1993,3.91
Jul-1993,3.89
Aug-1993,3.89
Sep-1993,4.48
Oct-1993,4.74
Nov-1993,4.88
Dec-1993,4.76
Jan-1994,4.64
Feb-1994,4.61
Mar-1994,4.41
Apr-1994,4.24
May-1994,4.43
Jun-1994,3.9
Jul-1994,3.86
Aug-1994,3.91
Sep-1994,4.32
Oct-1994,4.51
Nov-1994,4.42
Dec-1994,4.42
Jan-1995,4.54
Feb-1995,4.41
Mar-1995,4.24
Apr-1995,3.95
May-1995,3.99
Jun-1995,3.88
Jul-1995,3.62
Aug-1995,3.51
Sep-1995,3.94
Oct-1995,3.99
Nov-1995,4.17
Dec-1995,4.31
Jan-1996,4.38
Feb-1996,4.28
Mar-1996,4.25
Apr-1996,3.91
May-1996,3.81
Jun-1996,3.81
Jul-1996,3.82
Aug-1996,3.89
Sep-1996,4.33
Oct-1996,4.24
Nov-1996,4.58
Dec-1996,5.38
Jan-1997,5.85
Feb-1997,5.15
Mar-1997,4.31
Apr-1997,4.18
May-1997,4.48
Jun-1997,4.68
Jul-1997,4.41
Aug-1997,4.54
Sep-1997,4.72
Oct-1997,4.96
Nov-1997,5.27
Dec-1997,4.99
Jan-1998,4.51
Feb-1998,5.18
Mar-1998,4.19
Apr-1998,4.6
May-1998,5.21
Jun-1998,3.98
Jul-1998,4.17
Aug-1998,4.06
Sep-1998,4.19
Oct-1998,4.2
Nov-1998,4.27
Dec-1998,4.3
Jan-1999,4.98
Feb-1999,3.86
Mar-1999,3.67
Apr-1999,4.89
May-1999,4.75
Jun-1999,4.1
Jul-1999,4.58
Aug-1999,4.36
Sep-1999,4.91
Oct-1999,4.82
Nov-1999,4.9
Dec-1999,4.24
Jan-2000,4.52
Feb-2000,4.7
Mar-2000,4.49
Apr-2000,4.96
May-2000,4.72
Jun-2000,6.03
Jul-2000,5.78
Aug-2000,5.88
Sep-2000,6.15
Oct-2000,7.3
Nov-2000,7.06
Dec-2000,7.27
Jan-2001,9.01
Feb-2001,8.06
Mar-2001,7.08
Apr-2001,6.26
May-2001,8.14
Jun-2001,6.19
Jul-2001,5.61
Aug-2001,4.89
Sep-2001,3.65
Oct-2001,4.17
Nov-2001,5.8
Dec-2001,4.36
Jan-2002,5.07
Feb-2002,5.18
Mar-2002,4.89
Apr-2002,5.06
May-2002,5.59
Jun-2002,5.6
Jul-2002,5.48
Aug-2002,5.29
Sep-2002,5.44
Oct-2002,6.1
Nov-2002,6.24
Dec-2002,6.22
Jan-2003,6.19
Feb-2003,7.77
Mar-2003,8.71
Apr-2003,8.32
May-2003,7.55
Jun-2003,7.95
Jul-2003,7.35
Aug-2003,7.02
Sep-2003,7.61
Oct-2003,7.58
Nov-2003,8.27
Dec-2003,7.57
Jan-2004,7.88
Feb-2004,7.7
Mar-2004,7.46
Apr-2004,8.02
May-2004,8.21
Jun-2004,9.1
Jul-2004,8.48
Aug-2004,8.67
Sep-2004,8.16
Oct-2004,8.28
Nov-2004,9.58
Dec-2004,9.54
Jan-2005,8.72
Feb-2005,7.68
Mar-2005,9.15
Apr-2005,8.95
May-2005,9.13
Jun-2005,9.21
Jul-2005,9.55
Aug-2005,9.89
Sep-2005,12.38
Oct-2005,14.67
Nov-2005,15.07
Dec-2005,14.68
Jan-2006,11.62
Feb-2006,12.58
Mar-2006,9.01
Apr-2006,8.98
May-2006,9.5
Jun-2006,9.35
Jul-2006,10.38
Aug-2006,10.27
Sep-2006,10.05
Oct-2006,9.7
Nov-2006,9.99
Dec-2006,9.68
Jan-2007,9.16
Feb-2007,8.65
Mar-2007,9.68
Apr-2007,9.97
May-2007,9.82
Jun-2007,10.53
Jul-2007,10.3
Aug-2007,10.07
Sep-2007,10.35
Oct-2007,10.46
Nov-2007,10.74
Dec-2007,10.14
Jan-2008,9.76
Feb-2008,10.8
Mar-2008,10.83
Apr-2008,12.16
May-2008,12.32
Jun-2008,14.23
Jul-2008,15.12
Aug-2008,11.93
Sep-2008,12.1
Oct-2008,10.65
Nov-2008,9.56
Dec-2008,9.97
Jan-2009,9.5
Feb-2009,8.79
Mar-2009,7.64
Apr-2009,7.77
May-2009,8.26
Jun-2009,7.97
Jul-2009,8.37
Aug-2009,8.33
Sep-2009,8.01
Oct-2009,7.57
Nov-2009,8.38
Dec-2009,6.94
Jan-2010,8.37
Feb-2010,8.59
Mar-2010,8.7
Apr-2010,8.57
May-2010,7.89
Jun-2010,7.92
Jul-2010,8.45
Aug-2010,7.92
Sep-2010,7.35
Oct-2010,7.21
Nov-2010,6.35
Dec-2010,6.53
Jan-2011,6.46
Feb-2011,7.07
Mar-2011,6.98
Apr-2011,7.16
May-2011,7.9
Jun-2011,7.73
Jul-2011,7.64
Aug-2011,7.93
Sep-2011,7.8
Oct-2011,7.4
Nov-2011,6.71
Dec-2011,6.39
Jan-2012,6.89
Feb-2012,6.66
Mar-2012,6.19
Apr-2012,5.88
May-2012,6.14
Jun-2012,6.36
Jul-2012,6.22
Aug-2012,6.89
Sep-2012,6.87
Oct-2012,6.99
Nov-2012,6.89
Dec-2012,7.1
Jan-2013,6.38
Feb-2013,6.6
Mar-2013,6.58
Apr-2013,7.26
May-2013,7.6
Jun-2013,8.37
Jul-2013,8.61
Aug-2013,8.19
Sep-2013,8.14
Oct-2013,8.24
Nov-2013,7.62
Dec-2013,6.94
Jan-2014,7.23
Feb-2014,7.44
Mar-2014,8.49
Apr-2014,9
May-2014,9.38
Jun-2014,9.3
Jul-2014,9.24
Aug-2014,9.02
Sep-2014,8.68
Oct-2014,8.72
Nov-2014,8.12
Dec-2014,7.98
Jan-2015,7.23
Feb-2015,6.52
Mar-2015,6.39
Apr-2015,6.63
May-2015,6.86
Jun-2015,6.55
Jul-2015,7.52
Aug-2015,7.65
Sep-2015,7.72
Oct-2015,7.68
Nov-2015,7.26
Dec-2015,6.54
Jan-2016,5.98
Feb-2016,5.85
Mar-2016,6.17
Apr-2016,6.14
May-2016,6.84
Jun-2016,6.73
Jul-2016,7.52
Aug-2016,8.26
Sep-2016,8.15
Oct-2016,8.52
Nov-2016,8.25
Dec-2016,7.6
Jan-2017,7.4
Feb-2017,7.51
Mar-2017,7.19
Apr-2017,7.62
May-2017,7.57
Jun-2017,7.7
Jul-2017,8.19
Aug-2017,8.37
Sep-2017,8.35
Oct-2017,8.22
Nov-2017,7.72
Dec-2017,7.78
Jan-2018,6.14
Feb-2018,6.46
Mar-2018,6.67
Apr-2018,6.69
May-2018,7.07
Jun-2018,7.43
Jul-2018,7.45
Aug-2018,7.5
Sep-2018,7.31
Oct-2018,6.77
Nov-2018,5.9
Dec-2018,5.75
Jan-2019,5.55
Feb-2019,5.5
Mar-2019,5.32
Apr-2019,5.38
May-2019,5.97
Jun-2019,6.09
Jul-2019,6.49
Aug-2019,6.78
Sep-2019,6.92
Oct-2019,7.03
Nov-2019,
